county,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
Van Zandt,1-E,U.S. House,5,,Overvotes,0,,,
Van Zandt,1-E,U.S. House,5,,Undervotes,15,,,
Van Zandt,2-A,U.S. House,5,REP,Lance Gooden,2477,,,
Van Zandt,2-A,U.S. House,5,DEM,"Ruth ""Truth"" Torres",295,,,
Van Zandt,2-A,U.S. House,5,,Overvotes,11,,,
Van Zandt,2-A,U.S. House,5,,Undervotes,24,,,
Van Zandt,2-B,U.S. House,5,REP,Lance Gooden,941,,,
Van Zandt,2-B,U.S. House,5,DEM,"Ruth ""Truth"" Torres",105,,,
Van Zandt,2-B,U.S. House,5,,Overvotes,6,,,
Van Zandt,2-B,U.S. House,5,,Undervotes,10,,,
Van Zandt,2 - B ISD,U.S. House,5,REP,Lance Gooden,256,,,
Van Zandt,2 - B ISD,U.S. House,5,DEM,"Ruth ""Truth"" Torres",23,,,
Van Zandt,2 - B ISD,U.S. House,5,,Overvotes,1,,,
Van Zandt,2 - B ISD,U.S. House,5,,Undervotes,5,,,
Van Zandt,2-C,U.S. House,5,REP,Lance Gooden,1736,,,
Van Zandt,2-C,U.S. House,5,DEM,"Ruth ""Truth"" Torres",166,,,
Van Zandt,2-C,U.S. House,5,,Overvotes,3,,,
Van Zandt,2-C,U.S. House,5,,Undervotes,23,,,
Van Zandt,2-D,U.S. House,5,REP,Lance Gooden,1240,,,
Van Zandt,2-D,U.S. House,5,DEM,"Ruth ""Truth"" Torres",114,,,
Van Zandt,2-D,U.S. House,5,,Overvotes,1,,,
Van Zandt,2-D,U.S. House,5,,Undervotes,16,,,
Van Zandt,3-A,U.S. House,5,REP,Lance Gooden,471,,,
Van Zandt,3-A,U.S. House,5,DEM,"Ruth ""Truth"" Torres",90,,,
Van Zandt,3-A,U.S. House,5,,Overvotes,0,,,
Van Zandt,3-A,U.S. House,5,,Undervotes,7,,,
Van Zandt,3-B,U.S. House,5,REP,Lance Gooden,980,,,
Van Zandt,3-B,U.S. House,5,DEM,"Ruth ""Truth"" Torres",234,,,
Van Zandt,3-B,U.S. House,5,,Overvotes,0,,,
Van Zandt,3-B,U.S. House,5,,Undervotes,12,,,
Van Zandt,3-C,U.S. House,5,REP,Lance Gooden,1899,,,
Van Zandt,3-C,U.S. House,5,DEM,"Ruth ""Truth"" Torres",382,,,
Van Zandt,3-C,U.S. House,5,,Overvotes,2,,,
Van Zandt,3-C,U.S. House,5,,Undervotes,32,,,
Van Zandt,3-D,U.S. House,5,REP,Lance Gooden,2126,,,
Van Zandt,3-D,U.S. House,5,DEM,"Ruth ""Truth"" Torres",199,,,
Van Zandt,3-D,U.S. House,5,,Overvotes,5,,,
Van Zandt,3-D,U.S. House,5,,Undervotes,27,,,
Van Zandt,4-A,U.S. House,5,REP,Lance Gooden,958,,,
Van Zandt,4-A,U.S. House,5,DEM,"Ruth ""Truth"" Torres",95,,,
Van Zandt,4-A,U.S. House,5,,Overvotes,4,,,
Van Zandt,4-A,U.S. House,5,,Undervotes,9,,,
Van Zandt,4 - A ISD,U.S. House,5,REP,Lance Gooden,11,,,
Van Zandt,4 - A ISD,U.S. House,5,DEM,"Ruth ""Truth"" Torres",2,,,
Van Zandt,4 - A ISD,U.S. House,5,,Overvotes,0,,,
Van Zandt,4 - A ISD,U.S. House,5,,Undervotes,0,,,
Van Zandt,4-B,U.S. House,5,REP,Lance Gooden,1235,,,
Van Zandt,4-B,U.S. House,5,DEM,"Ruth ""Truth"" Torres",156,,,
