county,precinct,office,district,candidate,party,votes,election_day,early_voting,absentee
Guadalupe,128,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Luz Elena Chapa,Dem,683,98,553,32
Guadalupe,128,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Over Votes,,0,0,0,0
Guadalupe,128,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Under Votes,,144,26,118,0
Guadalupe,128,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Adrian Spears,Rep,1692,190,1461,41
Guadalupe,128,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Liza A. Rodriguez,Dem,684,96,553,35
Guadalupe,128,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Over Votes,,0,0,0,0
Guadalupe,128,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Under Votes,,146,27,119,0
Guadalupe,128,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Lori I. Valenzuela,Rep,1934,242,1641,51
Guadalupe,128,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Over Votes,,0,0,0,0
Guadalupe,128,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Under Votes,,588,71,492,25
Guadalupe,128,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Bill Old,Rep,1908,239,1619,50
Guadalupe,128,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Over Votes,,0,0,0,0
Guadalupe,128,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Under Votes,,614,74,514,26
Guadalupe,128,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Jessica Richard Crawford,Rep,1919,238,1631,50
Guadalupe,128,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Over Votes,,0,0,0,0
Guadalupe,128,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Under Votes,,603,75,502,26
Guadalupe,128,COUNTY ATTORNEY,,David Willborn,Rep,1930,243,1637,50
Guadalupe,128,COUNTY ATTORNEY,,Over Votes,,0,0,0,0
Guadalupe,128,COUNTY ATTORNEY,,Under Votes,,592,70,496,26
Guadalupe,128,SHERIFF,,Joshua Ray,Rep,1911,243,1618,50
Guadalupe,128,SHERIFF,,Over Votes,,0,0,0,0
Guadalupe,128,SHERIFF,,Under Votes,,611,70,515,26
Guadalupe,128,COUNTY TAX ASSESSOR-COLLECTOR,,Daryl W. John,Rep,1744,190,1508,46
Guadalupe,128,COUNTY TAX ASSESSOR-COLLECTOR,,Jesus Trinidad Jr.,Dem,635,95,511,29
Guadalupe,128,COUNTY TAX ASSESSOR-COLLECTOR,,Over Votes,,0,0,0,0
Guadalupe,128,COUNTY TAX ASSESSOR-COLLECTOR,,Under Votes,,143,28,114,1
Guadalupe,128,"COUNTY COMMISSIONER, PRECINCT NO. 1",,"Jacqueline ""Jackie"" Ott",Rep,1733,184,1505,44
Guadalupe,128,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Nahomie Alanis,Dem,586,85,470,31
Guadalupe,128,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Nolan Schmidt,Lib,81,18,63,0
Guadalupe,128,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Over Votes,,0,0,0,0
Guadalupe,128,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Under Votes,,122,26,95,1
Guadalupe,128,"CONSTABLE, PRECINCT NO. 1",,James Springer,Rep,1927,241,1638,48
Guadalupe,128,"CONSTABLE, PRECINCT NO. 1",,Over Votes,,0,0,0,0
Guadalupe,128,"CONSTABLE, PRECINCT NO. 1",,Under Votes,,595,72,495,28
Guadalupe,128,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Velia J. Meza,Dem,1140,172,922,46
Guadalupe,128,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Over Votes,,0,0,0,0
Guadalupe,128,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Under Votes,,1382,141,1211,30
Guadalupe,129,Registered Voters,,,,3208,,,
Guadalupe,129,Ballots Cast,,,,2128,323,1733,72
Guadalupe,129,PRESIDENT,,Donald J. Trump,Rep,1447,221,1192,34
Guadalupe,129,PRESIDENT,,Kamala D. Harris,Dem,658,96,524,38
Guadalupe,129,PRESIDENT,,Chase Oliver,Lib,11,4,7,0
Guadalupe,129,PRESIDENT,,Jill Stein,Gre,3,1,2,0
Guadalupe,129,PRESIDENT,,Write-ins,,8,1,7,0
Guadalupe,129,PRESIDENT,,Over Votes,,0,0,0,0
Guadalupe,129,PRESIDENT,,Under Votes,,1,0,1,0
Guadalupe,129,U.S. Senate,,Ted Cruz,Rep,1343,197,1112,34
Guadalupe,129,U.S. Senate,,Collin Allred,Dem,693,104,551,38
Guadalupe,129,U.S. Senate,,Ted Brown,Lib,56,13,43,0
Guadalupe,129,U.S. Senate,,Write-ins,,0,0,0,0
Guadalupe,129,U.S. Senate,,Over Votes,,0,0,0,0
Guadalupe,129,U.S. Senate,,Under Votes,,36,9,27,0
Guadalupe,129,U.S. House,28,Jay Furman,Rep,1445,217,1192,36
Guadalupe,129,U.S. House,28,Henry Cuellar,Dem,598,96,470,32
Guadalupe,129,U.S. House,28,Over Votes,,0,0,0,0
Guadalupe,129,U.S. House,28,Under Votes,,85,10,71,4
Guadalupe,129,RAILROAD COMMISSIONER,,Christi Craddick,Rep,1384,200,1151,33
Guadalupe,129,RAILROAD COMMISSIONER,,Katherine Culbert,Dem,559,85,440,34
Guadalupe,129,RAILROAD COMMISSIONER,,Hawk Dunlap,Lib,69,17,52,0
Guadalupe,129,RAILROAD COMMISSIONER,,Eddie Espinoza,Gre,29,3,25,1
Guadalupe,129,RAILROAD COMMISSIONER,,Write-ins,,0,0,0,0
Guadalupe,129,RAILROAD COMMISSIONER,,Over Votes,,0,0,0,0
Guadalupe,129,RAILROAD COMMISSIONER,,Under Votes,,87,18,65,4
Guadalupe,129,"JUSTICE, SUPREME COURT, PLACE 2",,Jimmy Blacklock,Rep,1435,219,1181,35
Guadalupe,129,"JUSTICE, SUPREME COURT, PLACE 2",,DeSean Jones,Dem,608,88,485,35
Guadalupe,129,"JUSTICE, SUPREME COURT, PLACE 2",,Over Votes,,0,0,0,0
Guadalupe,129,"JUSTICE, SUPREME COURT, PLACE 2",,Under Votes,,85,16,67,2
Guadalupe,129,"JUSTICE, SUPREME COURT, PLACE 4",,John Devine,Rep,1405,213,1158,34
Guadalupe,129,"JUSTICE, SUPREME COURT, PLACE 4",,Christine Vinh Weems,Dem,622,92,496,34
Guadalupe,129,"JUSTICE, SUPREME COURT, PLACE 4",,Over Votes,,0,0,0,0
Guadalupe,129,"JUSTICE, SUPREME COURT, PLACE 4",,Under Votes,,101,18,79,4
Guadalupe,129,"JUSTICE, SUPREME COURT, PLACE 6",,Jane Bland,Rep,1384,201,1150,33
Guadalupe,129,"JUSTICE, SUPREME COURT, PLACE 6",,Bonnie Lee Goldstein,Dem,570,83,453,34
Guadalupe,129,"JUSTICE, SUPREME COURT, PLACE 6",,J. David Roberson,Lib,82,19,62,1
Guadalupe,129,"JUSTICE, SUPREME COURT, PLACE 6",,Over Votes,,0,0,0,0
Guadalupe,129,"JUSTICE, SUPREME COURT, PLACE 6",,Under Votes,,92,20,68,4
Guadalupe,129,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,David J. Schenck,Rep,1423,217,1171,35
Guadalupe,129,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Holly Taylor,Dem,614,88,491,35
Guadalupe,129,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Over Votes,,0,0,0,0
Guadalupe,129,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Under Votes,,91,18,71,2
Guadalupe,129,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Gina Parker,Rep,1439,220,1186,33
Guadalupe,129,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Nancy Mulder,Dem,602,86,481,35
Guadalupe,129,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Over Votes,,0,0,0,0
Guadalupe,129,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Under Votes,,87,17,66,4
Guadalupe,129,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Lee Finley,Rep,1440,217,1189,34
Guadalupe,129,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Chika Anyiam,Dem,594,88,470,36
Guadalupe,129,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Over Votes,,0,0,0,0
Guadalupe,129,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Under Votes,,94,18,74,2
Guadalupe,129,State Senate,25,Donna Campbell,Rep,1459,221,1205,33
Guadalupe,129,State Senate,25,Merrie Fox,Dem,596,85,475,36
Guadalupe,129,State Senate,25,Over Votes,,0,0,0,0
Guadalupe,129,State Senate,25,Under Votes,,73,17,53,3
Guadalupe,129,State House,44,Alan Schoolcraft,Rep,1414,214,1166,34
Guadalupe,129,State House,44,Eric Norman,Dem,623,88,499,36
Guadalupe,129,State House,44,Over Votes,,0,0,0,0
Guadalupe,129,State House,44,Under Votes,,91,21,68,2
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Todd McCray,Rep,1403,209,1160,34
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Cynthia Marie Chapa,Dem,618,91,491,36
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Over Votes,,0,0,0,0
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Under Votes,,107,23,82,2
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Lori Massey Brissette,Rep,1405,209,1163,33
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Luz Elena Chapa,Dem,615,90,491,34
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Over Votes,,0,0,0,0
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Under Votes,,108,24,79,5
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Adrian Spears,Rep,1393,209,1152,32
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Liza A. Rodriguez,Dem,619,91,492,36
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Over Votes,,0,0,0,0
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Under Votes,,116,23,89,4
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Lori I. Valenzuela,Rep,1622,257,1323,42
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Over Votes,,0,0,0,0
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Under Votes,,506,66,410,30
Guadalupe,129,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Bill Old,Rep,1607,257,1306,44
Guadalupe,129,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Over Votes,,0,0,0,0
Guadalupe,129,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Under Votes,,521,66,427,28
Guadalupe,129,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Jessica Richard Crawford,Rep,1610,254,1314,42
Guadalupe,129,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Over Votes,,0,0,0,0
Guadalupe,129,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Under Votes,,518,69,419,30
Guadalupe,129,COUNTY ATTORNEY,,David Willborn,Rep,1628,259,1325,44
Guadalupe,129,COUNTY ATTORNEY,,Over Votes,,0,0,0,0
Guadalupe,129,COUNTY ATTORNEY,,Under Votes,,500,64,408,28
Guadalupe,129,SHERIFF,,Joshua Ray,Rep,1629,260,1326,43
Guadalupe,129,SHERIFF,,Over Votes,,0,0,0,0
Guadalupe,129,SHERIFF,,Under Votes,,499,63,407,29
Guadalupe,129,COUNTY TAX ASSESSOR-COLLECTOR,,Daryl W. John,Rep,1445,218,1192,35
Guadalupe,129,COUNTY TAX ASSESSOR-COLLECTOR,,Jesus Trinidad Jr.,Dem,567,84,449,34
Guadalupe,129,COUNTY TAX ASSESSOR-COLLECTOR,,Over Votes,,0,0,0,0
Guadalupe,129,COUNTY TAX ASSESSOR-COLLECTOR,,Under Votes,,116,21,92,3
Guadalupe,129,"COUNTY COMMISSIONER, PRECINCT NO. 1",,"Jacqueline ""Jackie"" Ott",Rep,1411,208,1171,32
Guadalupe,129,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Nahomie Alanis,Dem,542,80,429,33
Guadalupe,129,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Nolan Schmidt,Lib,79,15,62,2
Guadalupe,129,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Over Votes,,0,0,0,0
Guadalupe,129,"COUNTY COMMISSIONER, PRECINCT NO. 1",,Under Votes,,96,20,71,5
Guadalupe,129,"CONSTABLE, PRECINCT NO. 1",,James Springer,Rep,1627,256,1327,44
Guadalupe,129,"CONSTABLE, PRECINCT NO. 1",,Over Votes,,0,0,0,0
Guadalupe,129,"CONSTABLE, PRECINCT NO. 1",,Under Votes,,501,67,406,28
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Velia J. Meza,Dem,1001,166,793,42
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Over Votes,,0,0,0,0
Guadalupe,129,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Under Votes,,1127,157,940,30
Guadalupe,201,Registered Voters,,,,602,,,
Guadalupe,201,Ballots Cast,,,,298,62,228,8
Guadalupe,201,PRESIDENT,,Donald J. Trump,Rep,180,39,138,3
Guadalupe,201,PRESIDENT,,Kamala D. Harris,Dem,114,22,87,5
Guadalupe,201,PRESIDENT,,Chase Oliver,Lib,1,0,1,0
Guadalupe,201,PRESIDENT,,Jill Stein,Gre,2,1,1,0
Guadalupe,201,PRESIDENT,,Write-ins,,0,0,0,0
Guadalupe,201,PRESIDENT,,Over Votes,,0,0,0,0
Guadalupe,201,PRESIDENT,,Under Votes,,1,0,1,0
Guadalupe,201,U.S. Senate,,Ted Cruz,Rep,166,31,132,3
Guadalupe,201,U.S. Senate,,Collin Allred,Dem,114,23,86,5
Guadalupe,201,U.S. Senate,,Ted Brown,Lib,5,2,3,0
Guadalupe,201,U.S. Senate,,Write-ins,,0,0,0,0
Guadalupe,201,U.S. Senate,,Over Votes,,0,0,0,0
Guadalupe,201,U.S. Senate,,Under Votes,,13,6,7,0
Guadalupe,201,U.S. House,15,Monica De La Cruz,Rep,176,33,140,3
Guadalupe,201,U.S. House,15,Michelle Vallejo,Dem,107,23,79,5
Guadalupe,201,U.S. House,15,Over Votes,,0,0,0,0
Guadalupe,201,U.S. House,15,Under Votes,,15,6,9,0
Guadalupe,201,RAILROAD COMMISSIONER,,Christi Craddick,Rep,157,26,128,3
Guadalupe,201,RAILROAD COMMISSIONER,,Katherine Culbert,Dem,99,21,73,5
Guadalupe,201,RAILROAD COMMISSIONER,,Hawk Dunlap,Lib,4,0,4,0
Guadalupe,201,RAILROAD COMMISSIONER,,Eddie Espinoza,Gre,14,5,9,0
Guadalupe,201,RAILROAD COMMISSIONER,,Write-ins,,0,0,0,0
Guadalupe,201,RAILROAD COMMISSIONER,,Over Votes,,0,0,0,0
Guadalupe,201,RAILROAD COMMISSIONER,,Under Votes,,24,10,14,0
Guadalupe,201,"JUSTICE, SUPREME COURT, PLACE 2",,Jimmy Blacklock,Rep,167,30,134,3
Guadalupe,201,"JUSTICE, SUPREME COURT, PLACE 2",,DeSean Jones,Dem,106,21,80,5
Guadalupe,201,"JUSTICE, SUPREME COURT, PLACE 2",,Over Votes,,0,0,0,0
Guadalupe,201,"JUSTICE, SUPREME COURT, PLACE 2",,Under Votes,,25,11,14,0
Guadalupe,201,"JUSTICE, SUPREME COURT, PLACE 4",,John Devine,Rep,167,28,136,3
Guadalupe,201,"JUSTICE, SUPREME COURT, PLACE 4",,Christine Vinh Weems,Dem,105,22,78,5
Guadalupe,201,"JUSTICE, SUPREME COURT, PLACE 4",,Over Votes,,0,0,0,0
Guadalupe,201,"JUSTICE, SUPREME COURT, PLACE 4",,Under Votes,,26,12,14,0
Guadalupe,201,"JUSTICE, SUPREME COURT, PLACE 6",,Jane Bland,Rep,161,30,128,3
Guadalupe,201,"JUSTICE, SUPREME COURT, PLACE 6",,Bonnie Lee Goldstein,Dem,97,16,76,5
Guadalupe,201,"JUSTICE, SUPREME COURT, PLACE 6",,J. David Roberson,Lib,13,5,8,0
Guadalupe,201,"JUSTICE, SUPREME COURT, PLACE 6",,Over Votes,,0,0,0,0
Guadalupe,201,"JUSTICE, SUPREME COURT, PLACE 6",,Under Votes,,27,11,16,0
Guadalupe,201,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,David J. Schenck,Rep,168,28,138,2
Guadalupe,201,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Holly Taylor,Dem,102,23,73,6
Guadalupe,201,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Over Votes,,0,0,0,0
Guadalupe,201,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Under Votes,,28,11,17,0
Guadalupe,201,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Gina Parker,Rep,167,31,133,3
Guadalupe,201,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Nancy Mulder,Dem,103,20,78,5
Guadalupe,201,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Over Votes,,0,0,0,0
Guadalupe,201,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Under Votes,,28,11,17,0
Guadalupe,201,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Lee Finley,Rep,171,32,136,3
Guadalupe,201,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Chika Anyiam,Dem,97,19,73,5
Guadalupe,201,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Over Votes,,0,0,0,0
Guadalupe,201,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Under Votes,,30,11,19,0
Guadalupe,201,State House,44,Alan Schoolcraft,Rep,152,29,121,2
Guadalupe,201,State House,44,Eric Norman,Dem,120,20,94,6
Guadalupe,201,State House,44,Over Votes,,0,0,0,0
Guadalupe,201,State House,44,Under Votes,,26,13,13,0
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Todd McCray,Rep,156,27,126,3
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Cynthia Marie Chapa,Dem,110,21,84,5
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Over Votes,,0,0,0,0
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 3",,Under Votes,,32,14,18,0
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Lori Massey Brissette,Rep,153,25,125,3
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Luz Elena Chapa,Dem,112,23,84,5
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Over Votes,,0,0,0,0
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 4",,Under Votes,,33,14,19,0
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Adrian Spears,Rep,153,27,124,2
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Liza A. Rodriguez,Dem,111,20,85,6
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Over Votes,,0,0,0,0
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 5",,Under Votes,,34,15,19,0
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Lori I. Valenzuela,Rep,202,33,164,5
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Over Votes,,0,0,0,0
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 7",,Under Votes,,96,29,64,3
Guadalupe,201,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Bill Old,Rep,197,33,159,5
Guadalupe,201,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Over Votes,,0,0,0,0
Guadalupe,201,"DISTRICT JUDGE, 25TH JUDICIAL DISTRICT",,Under Votes,,101,29,69,3
Guadalupe,201,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Jessica Richard Crawford,Rep,197,32,160,5
Guadalupe,201,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Over Votes,,0,0,0,0
Guadalupe,201,"DISTRICT JUDGE, 2ND 25TH JUDICIAL DISTRICT",,Under Votes,,101,30,68,3
Guadalupe,201,COUNTY ATTORNEY,,David Willborn,Rep,196,33,158,5
Guadalupe,201,COUNTY ATTORNEY,,Over Votes,,0,0,0,0
Guadalupe,201,COUNTY ATTORNEY,,Under Votes,,102,29,70,3
Guadalupe,201,SHERIFF,,Joshua Ray,Rep,202,34,163,5
Guadalupe,201,SHERIFF,,Over Votes,,0,0,0,0
Guadalupe,201,SHERIFF,,Under Votes,,96,28,65,3
Guadalupe,201,COUNTY TAX ASSESSOR-COLLECTOR,,Daryl W. John,Rep,163,28,132,3
Guadalupe,201,COUNTY TAX ASSESSOR-COLLECTOR,,Jesus Trinidad Jr.,Dem,101,19,77,5
Guadalupe,201,COUNTY TAX ASSESSOR-COLLECTOR,,Over Votes,,0,0,0,0
Guadalupe,201,COUNTY TAX ASSESSOR-COLLECTOR,,Under Votes,,34,15,19,0
Guadalupe,201,"CONSTABLE, PRECINCT NO. 2",,Mark Reyes,Rep,206,36,165,5
Guadalupe,201,"CONSTABLE, PRECINCT NO. 2",,Over Votes,,0,0,0,0
Guadalupe,201,"CONSTABLE, PRECINCT NO. 2",,Under Votes,,92,26,63,3
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Velia J. Meza,Dem,148,26,115,7
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Over Votes,,0,0,0,0
Guadalupe,201,"JUSTICE, 4TH COURT OF APPEALS DISTRICT, PLACE 2",,Under Votes,,150,36,113,1
Guadalupe,202,Registered Voters,,,,1275,,,
Guadalupe,202,Ballots Cast,,,,617,177,410,30
Guadalupe,202,PRESIDENT,,Donald J. Trump,Rep,283,92,186,5
Guadalupe,202,PRESIDENT,,Kamala D. Harris,Dem,315,78,213,24
Guadalupe,202,PRESIDENT,,Chase Oliver,Lib,10,4,6,0
Guadalupe,202,PRESIDENT,,Jill Stein,Gre,4,1,2,1
Guadalupe,202,PRESIDENT,,Write-ins,,0,0,0,0
Guadalupe,202,PRESIDENT,,Over Votes,,0,0,0,0
Guadalupe,202,PRESIDENT,,Under Votes,,5,2,3,0
Guadalupe,202,U.S. Senate,,Ted Cruz,Rep,240,71,164,5
Guadalupe,202,U.S. Senate,,Collin Allred,Dem,333,86,223,24
Guadalupe,202,U.S. Senate,,Ted Brown,Lib,19,6,12,1
Guadalupe,202,U.S. Senate,,Write-ins,,1,0,1,0
Guadalupe,202,U.S. Senate,,Over Votes,,0,0,0,0
Guadalupe,202,U.S. Senate,,Under Votes,,24,14,10,0
Guadalupe,202,U.S. House,15,Monica De La Cruz,Rep,284,86,193,5
Guadalupe,202,U.S. House,15,Michelle Vallejo,Dem,297,75,197,25
Guadalupe,202,U.S. House,15,Over Votes,,0,0,0,0
Guadalupe,202,U.S. House,15,Under Votes,,36,16,20,0
Guadalupe,202,RAILROAD COMMISSIONER,,Christi Craddick,Rep,241,73,162,6
Guadalupe,202,RAILROAD COMMISSIONER,,Katherine Culbert,Dem,278,62,192,24
Guadalupe,202,RAILROAD COMMISSIONER,,Hawk Dunlap,Lib,22,11,11,0
Guadalupe,202,RAILROAD COMMISSIONER,,Eddie Espinoza,Gre,24,9,15,0
Guadalupe,202,RAILROAD COMMISSIONER,,Write-ins,,0,0,0,0
Guadalupe,202,RAILROAD COMMISSIONER,,Over Votes,,0,0,0,0
Guadalupe,202,RAILROAD COMMISSIONER,,Under Votes,,52,22,30,0
Guadalupe,202,"JUSTICE, SUPREME COURT, PLACE 2",,Jimmy Blacklock,Rep,261,80,175,6
Guadalupe,202,"JUSTICE, SUPREME COURT, PLACE 2",,DeSean Jones,Dem,302,74,205,23
Guadalupe,202,"JUSTICE, SUPREME COURT, PLACE 2",,Over Votes,,0,0,0,0
Guadalupe,202,"JUSTICE, SUPREME COURT, PLACE 2",,Under Votes,,54,23,30,1
Guadalupe,202,"JUSTICE, SUPREME COURT, PLACE 4",,John Devine,Rep,262,86,171,5
Guadalupe,202,"JUSTICE, SUPREME COURT, PLACE 4",,Christine Vinh Weems,Dem,297,67,206,24
Guadalupe,202,"JUSTICE, SUPREME COURT, PLACE 4",,Over Votes,,0,0,0,0
Guadalupe,202,"JUSTICE, SUPREME COURT, PLACE 4",,Under Votes,,58,24,33,1
Guadalupe,202,"JUSTICE, SUPREME COURT, PLACE 6",,Jane Bland,Rep,249,72,169,8
Guadalupe,202,"JUSTICE, SUPREME COURT, PLACE 6",,Bonnie Lee Goldstein,Dem,286,66,198,22
Guadalupe,202,"JUSTICE, SUPREME COURT, PLACE 6",,J. David Roberson,Lib,25,16,9,0
Guadalupe,202,"JUSTICE, SUPREME COURT, PLACE 6",,Over Votes,,0,0,0,0
Guadalupe,202,"JUSTICE, SUPREME COURT, PLACE 6",,Under Votes,,57,23,34,0
Guadalupe,202,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,David J. Schenck,Rep,259,84,169,6
Guadalupe,202,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Holly Taylor,Dem,302,69,210,23
Guadalupe,202,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Over Votes,,0,0,0,0
Guadalupe,202,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",,Under Votes,,56,24,31,1
Guadalupe,202,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Gina Parker,Rep,260,80,174,6
Guadalupe,202,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Nancy Mulder,Dem,302,72,206,24
Guadalupe,202,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Over Votes,,0,0,0,0
Guadalupe,202,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 7",,Under Votes,,55,25,30,0
Guadalupe,202,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Lee Finley,Rep,261,81,174,6
Guadalupe,202,"JUDGE, COURT OF CRIMINAL APPEALS, PLACE 8",,Chika Anyiam,Dem,301,71,206,24
