id,precinct,office,district,party,candidate,votes,absentee,early_voting,election_day
1017,Precinct 11,U.S. Senate,,,Over Votes,0,0,0,0
1018,Precinct 11,U.S. Senate,,,Under Votes,19,2,11,6
1020,Precinct 11,U.S. House,17,REP,Pete Sessions,1531,11,1314,206
1021,Precinct 11,U.S. House,17,DEM,Mark Lorenzen,127,5,92,30
1022,Precinct 11,U.S. House,17,,Over Votes,0,0,0,0
1023,Precinct 11,U.S. House,17,,Under Votes,41,2,31,8
1026,Precinct 11,Railroad Commissioner,,REP,Christi Craddick,1483,11,1279,193
1027,Precinct 11,Railroad Commissioner,,DEM,Katherine Culbert,119,5,85,29
1028,Precinct 11,Railroad Commissioner,,LIB,Hawk Dunlap,45,0,34,11
1029,Precinct 11,Railroad Commissioner,,GRN,Eddie Espinoza,6,0,3,3
1030,Precinct 11,Railroad Commissioner,,,Write-ins,0,0,0,0
1031,Precinct 11,Railroad Commissioner,,,Over Votes,0,0,0,0
1032,Precinct 11,Railroad Commissioner,,,Under Votes,46,2,36,8
1034,Precinct 11,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,1531,11,1314,206
1035,Precinct 11,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,122,5,87,30
1036,Precinct 11,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
1037,Precinct 11,"Justice, Supreme Court, Pl 2",,,Under Votes,46,2,36,8
1039,Precinct 11,"Justice, Supreme Court, Pl 4",,REP,John Devine,1514,11,1302,201
1040,Precinct 11,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,134,5,97,32
1041,Precinct 11,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
1042,Precinct 11,"Justice, Supreme Court, Pl 4",,,Under Votes,51,2,38,11
1044,Precinct 11,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,1498,11,1286,201
1045,Precinct 11,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,122,5,89,28
1046,Precinct 11,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,27,0,19,8
1047,Precinct 11,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
1048,Precinct 11,"Justice, Supreme Court, Pl 6",,,Under Votes,52,2,43,7
1051,Precinct 11,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,1500,11,1286,203
1052,Precinct 11,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,137,5,102,30
1053,Precinct 11,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
1054,Precinct 11,"Presiding Judge, Ct of Crim App",,,Under Votes,62,2,49,11
1056,Precinct 11,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,1503,11,1291,201
1057,Precinct 11,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,132,5,94,33
1058,Precinct 11,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0
1059,Precinct 11,"Judge, Ct of Crim App, Pl 7",,,Under Votes,64,2,52,10
1061,Precinct 11,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,1509,11,1294,204
1062,Precinct 11,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,122,5,90,27
1063,Precinct 11,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0
1064,Precinct 11,"Judge, Ct of Crim App, Pl 8",,,Under Votes,68,2,53,13
1066,Precinct 11,State Representative,9,REP,Trent Ashby,1562,11,1330,221
1067,Precinct 11,State Representative,9,,Over Votes,0,0,0,0
1068,Precinct 11,State Representative,9,,Under Votes,137,7,107,23
1071,Precinct 11,"Justice, 12th Ct of App Dist, Pl 3",,REP,Greg Neeley,1522,10,1299,213
1072,Precinct 11,"Justice, 12th Ct of App Dist, Pl 3",,,Over Votes,0,0,0,0
1073,Precinct 11,"Justice, 12th Ct of App Dist, Pl 3",,,Under Votes,177,8,138,31
1075,Precinct 11,"Dist Attorney, 159th Judicial Dist",,REP,Layne Allen Thompson,1520,10,1296,214
1076,Precinct 11,"Dist Attorney, 159th Judicial Dist",,,Over Votes,0,0,0,0
1077,Precinct 11,"Dist Attorney, 159th Judicial Dist",,,Under Votes,179,8,141,30
1079,Precinct 11,County Attorney,,REP,James M. Yakovsky,1528,10,1299,219
1080,Precinct 11,County Attorney,,,Over Votes,0,0,0,0
1081,Precinct 11,County Attorney,,,Under Votes,171,8,138,25
1083,Precinct 11,District Clerk - Unexpired Term,,REP,Meagan Moore,1523,10,1296,217
1084,Precinct 11,District Clerk - Unexpired Term,,,Over Votes,0,0,0,0
1085,Precinct 11,District Clerk - Unexpired Term,,,Under Votes,176,8,141,27
1087,Precinct 11,Sheriff,,REP,Tom Selman,1553,10,1321,222
1088,Precinct 11,Sheriff,,,Over Votes,0,0,0,0
1089,Precinct 11,Sheriff,,,Under Votes,146,8,116,22
1092,Precinct 11,County Tax Assessor-Collector,,REP,Billie Page,1542,10,1316,216
1093,Precinct 11,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
1094,Precinct 11,County Tax Assessor-Collector,,,Under Votes,157,8,121,28
1096,Precinct 11,County Commissioner Pct 3,,REP,Tom Berry,1503,10,1271,222
1097,Precinct 11,County Commissioner Pct 3,,,Over Votes,0,0,0,0
1098,Precinct 11,County Commissioner Pct 3,,,Under Votes,196,8,166,22
1100,Precinct 11,Constable Pct 3,,REP,Chad Wilson,1485,10,1261,214
1101,Precinct 11,Constable Pct 3,,,Over Votes,0,0,0,0
1102,Precinct 11,Constable Pct 3,,,Under Votes,214,8,176,30
1104,Precinct 11B,Registered Voters,,,,1321,,,
1105,Precinct 11B,Ballots Cast,,,,805,34,634,137
1107,Precinct 11B,President,,REP,Donald J. Trump/JD Vance,699,24,559,116
1108,Precinct 11B,President,,DEM,Kamala D. Harris/Tim Walz,97,8,69,20
1109,Precinct 11B,President,,LIB,Chase Oliver/Mike ter Maat,5,1,3,1
1110,Precinct 11B,President,,GRN,Jill Stein/Rudolph Ware,0,0,0,0
1111,Precinct 11B,President,,,Write-ins,0,0,0,0
1112,Precinct 11B,President,,,Over Votes,0,0,0,0
1113,Precinct 11B,President,,,Under Votes,4,1,3,0
1115,Precinct 11B,U.S. Senate,,REP,Ted Cruz,671,24,539,108
1116,Precinct 11B,U.S. Senate,,DEM,Colin Allred,112,10,80,22
1117,Precinct 11B,U.S. Senate,,LIB,Ted Brown,10,0,6,4
1118,Precinct 11B,U.S. Senate,,,Write-ins,0,0,0,0
1119,Precinct 11B,U.S. Senate,,,Over Votes,0,0,0,0
1120,Precinct 11B,U.S. Senate,,,Under Votes,12,0,9,3
1122,Precinct 11B,U.S. House,17,REP,Pete Sessions,685,24,547,114
1123,Precinct 11B,U.S. House,17,DEM,Mark Lorenzen,95,10,65,20
1124,Precinct 11B,U.S. House,17,,Over Votes,0,0,0,0
1125,Precinct 11B,U.S. House,17,,Under Votes,25,0,22,3
1128,Precinct 11B,Railroad Commissioner,,REP,Christi Craddick,669,24,538,107
1129,Precinct 11B,Railroad Commissioner,,DEM,Katherine Culbert,85,9,60,16
1130,Precinct 11B,Railroad Commissioner,,LIB,Hawk Dunlap,13,0,10,3
1131,Precinct 11B,Railroad Commissioner,,GRN,Eddie Espinoza,9,1,4,4
1132,Precinct 11B,Railroad Commissioner,,,Write-ins,1,0,1,0
1133,Precinct 11B,Railroad Commissioner,,,Over Votes,0,0,0,0
1134,Precinct 11B,Railroad Commissioner,,,Under Votes,28,0,21,7
1136,Precinct 11B,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,680,24,542,114
1137,Precinct 11B,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,91,8,64,19
1138,Precinct 11B,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
1139,Precinct 11B,"Justice, Supreme Court, Pl 2",,,Under Votes,34,2,28,4
1141,Precinct 11B,"Justice, Supreme Court, Pl 4",,REP,John Devine,669,23,537,109
1142,Precinct 11B,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,100,9,69,22
1143,Precinct 11B,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
1144,Precinct 11B,"Justice, Supreme Court, Pl 4",,,Under Votes,36,2,28,6
1146,Precinct 11B,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,662,24,532,106
1147,Precinct 11B,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,95,10,66,19
1148,Precinct 11B,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,15,0,8,7
1149,Precinct 11B,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
1150,Precinct 11B,"Justice, Supreme Court, Pl 6",,,Under Votes,33,0,28,5
1153,Precinct 11B,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,660,23,533,104
1154,Precinct 11B,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,106,10,70,26
1155,Precinct 11B,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
1156,Precinct 11B,"Presiding Judge, Ct of Crim App",,,Under Votes,39,1,31,7
1158,Precinct 11B,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,664,25,533,106
1159,Precinct 11B,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,99,9,69,21
1160,Precinct 11B,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0
1161,Precinct 11B,"Judge, Ct of Crim App, Pl 7",,,Under Votes,42,0,32,10
1163,Precinct 11B,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,669,24,538,107
1164,Precinct 11B,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,93,10,63,20
1165,Precinct 11B,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0
1166,Precinct 11B,"Judge, Ct of Crim App, Pl 8",,,Under Votes,43,0,33,10
1168,Precinct 11B,State Representative,9,REP,Trent Ashby,706,25,562,119
1169,Precinct 11B,State Representative,9,,Over Votes,0,0,0,0
1170,Precinct 11B,State Representative,9,,Under Votes,99,9,72,18
1173,Precinct 11B,"Justice, 12th Ct of App Dist, Pl 3",,REP,Greg Neeley,703,26,556,121
1174,Precinct 11B,"Justice, 12th Ct of App Dist, Pl 3",,,Over Votes,0,0,0,0
1175,Precinct 11B,"Justice, 12th Ct of App Dist, Pl 3",,,Under Votes,102,8,78,16
1177,Precinct 11B,"Dist Attorney, 159th Judicial Dist",,REP,Layne Allen Thompson,684,25,544,115
1178,Precinct 11B,"Dist Attorney, 159th Judicial Dist",,,Over Votes,0,0,0,0
1179,Precinct 11B,"Dist Attorney, 159th Judicial Dist",,,Under Votes,121,9,90,22
1181,Precinct 11B,County Attorney,,REP,James M. Yakovsky,699,25,554,120
1182,Precinct 11B,County Attorney,,,Over Votes,0,0,0,0
1183,Precinct 11B,County Attorney,,,Under Votes,106,9,80,17
1185,Precinct 11B,District Clerk - Unexpired Term,,REP,Meagan Moore,701,25,554,122
1186,Precinct 11B,District Clerk - Unexpired Term,,,Over Votes,0,0,0,0
1187,Precinct 11B,District Clerk - Unexpired Term,,,Under Votes,104,9,80,15
1189,Precinct 11B,Sheriff,,REP,Tom Selman,697,26,552,119
1190,Precinct 11B,Sheriff,,,Over Votes,0,0,0,0
1191,Precinct 11B,Sheriff,,,Under Votes,108,8,82,18
1194,Precinct 11B,County Tax Assessor-Collector,,REP,Billie Page,698,27,551,120
1195,Precinct 11B,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
1196,Precinct 11B,County Tax Assessor-Collector,,,Under Votes,107,7,83,17
1198,Precinct 11B,County Commissioner Pct 3,,REP,Tom Berry,689,25,544,120
1199,Precinct 11B,County Commissioner Pct 3,,,Over Votes,0,0,0,0
1200,Precinct 11B,County Commissioner Pct 3,,,Under Votes,116,9,90,17
1202,Precinct 11B,Constable Pct 3,,REP,Chad Wilson,681,26,541,114
1203,Precinct 11B,Constable Pct 3,,,Over Votes,0,0,0,0
1204,Precinct 11B,Constable Pct 3,,,Under Votes,124,8,93,23
1206,Precinct 12,Registered Voters,,,,978,,,
1207,Precinct 12,Ballots Cast,,,,603,12,483,108
1209,Precinct 12,President,,REP,Donald J. Trump/JD Vance,498,9,399,90
1210,Precinct 12,President,,DEM,Kamala D. Harris/Tim Walz,103,3,82,18
1211,Precinct 12,President,,LIB,Chase Oliver/Mike ter Maat,0,0,0,0
1212,Precinct 12,President,,GRN,Jill Stein/Rudolph Ware,0,0,0,0
1213,Precinct 12,President,,,Write-ins,0,0,0,0
1214,Precinct 12,President,,,Over Votes,0,0,0,0
1215,Precinct 12,President,,,Under Votes,2,0,2,0
1217,Precinct 12,U.S. Senate,,REP,Ted Cruz,482,9,392,81
1218,Precinct 12,U.S. Senate,,DEM,Colin Allred,105,3,80,22
1219,Precinct 12,U.S. Senate,,LIB,Ted Brown,7,0,6,1
1220,Precinct 12,U.S. Senate,,,Write-ins,0,0,0,0
1221,Precinct 12,U.S. Senate,,,Over Votes,0,0,0,0
1222,Precinct 12,U.S. Senate,,,Under Votes,9,0,5,4
1224,Precinct 12,U.S. House,17,REP,Pete Sessions,494,10,400,84
1225,Precinct 12,U.S. House,17,DEM,Mark Lorenzen,88,2,68,18
1226,Precinct 12,U.S. House,17,,Over Votes,0,0,0,0
1227,Precinct 12,U.S. House,17,,Under Votes,21,0,15,6
1230,Precinct 12,Railroad Commissioner,,REP,Christi Craddick,469,7,385,77
1231,Precinct 12,Railroad Commissioner,,DEM,Katherine Culbert,87,3,68,16
1232,Precinct 12,Railroad Commissioner,,LIB,Hawk Dunlap,16,1,8,7
1233,Precinct 12,Railroad Commissioner,,GRN,Eddie Espinoza,5,0,3,2
1234,Precinct 12,Railroad Commissioner,,,Write-ins,0,0,0,0
1235,Precinct 12,Railroad Commissioner,,,Over Votes,0,0,0,0
1236,Precinct 12,Railroad Commissioner,,,Under Votes,26,1,19,6
1238,Precinct 12,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,487,9,396,82
1239,Precinct 12,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,87,2,66,19
1240,Precinct 12,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
1241,Precinct 12,"Justice, Supreme Court, Pl 2",,,Under Votes,29,1,21,7
1243,Precinct 12,"Justice, Supreme Court, Pl 4",,REP,John Devine,471,9,382,80
1244,Precinct 12,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,101,2,78,21
1245,Precinct 12,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
1246,Precinct 12,"Justice, Supreme Court, Pl 4",,,Under Votes,31,1,23,7
1248,Precinct 12,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,473,9,384,80
1249,Precinct 12,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,89,2,68,19
1250,Precinct 12,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,8,0,6,2
1251,Precinct 12,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
1252,Precinct 12,"Justice, Supreme Court, Pl 6",,,Under Votes,33,1,25,7
1255,Precinct 12,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,470,9,382,79
1256,Precinct 12,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,97,2,76,19
1257,Precinct 12,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
1258,Precinct 12,"Presiding Judge, Ct of Crim App",,,Under Votes,36,1,25,10
1260,Precinct 12,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,482,9,389,84
1261,Precinct 12,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,87,2,68,17
1262,Precinct 12,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0
1263,Precinct 12,"Judge, Ct of Crim App, Pl 7",,,Under Votes,34,1,26,7
1265,Precinct 12,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,481,8,389,84
1266,Precinct 12,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,85,2,66,17
1267,Precinct 12,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0
1268,Precinct 12,"Judge, Ct of Crim App, Pl 8",,,Under Votes,37,2,28,7
1270,Precinct 12,State Representative,9,REP,Trent Ashby,518,10,413,95
1271,Precinct 12,State Representative,9,,Over Votes,0,0,0,0
1272,Precinct 12,State Representative,9,,Under Votes,85,2,70,13
1275,Precinct 12,"Justice, 12th Ct of App Dist, Pl 3",,REP,Greg Neeley,501,8,406,87
1276,Precinct 12,"Justice, 12th Ct of App Dist, Pl 3",,,Over Votes,0,0,0,0
1277,Precinct 12,"Justice, 12th Ct of App Dist, Pl 3",,,Under Votes,102,4,77,21
1279,Precinct 12,"Dist Attorney, 159th Judicial Dist",,REP,Layne Allen Thompson,498,8,401,89
1280,Precinct 12,"Dist Attorney, 159th Judicial Dist",,,Over Votes,0,0,0,0
1281,Precinct 12,"Dist Attorney, 159th Judicial Dist",,,Under Votes,105,4,82,19
1283,Precinct 12,County Attorney,,REP,James M. Yakovsky,504,8,404,92
1284,Precinct 12,County Attorney,,,Over Votes,0,0,0,0
1285,Precinct 12,County Attorney,,,Under Votes,99,4,79,16
1287,Precinct 12,District Clerk - Unexpired Term,,REP,Meagan Moore,496,8,398,90
1288,Precinct 12,District Clerk - Unexpired Term,,,Over Votes,0,0,0,0
1289,Precinct 12,District Clerk - Unexpired Term,,,Under Votes,107,4,85,18
1291,Precinct 12,Sheriff,,REP,Tom Selman,514,8,415,91
1292,Precinct 12,Sheriff,,,Over Votes,0,0,0,0
1293,Precinct 12,Sheriff,,,Under Votes,89,4,68,17
1296,Precinct 12,County Tax Assessor-Collector,,REP,Billie Page,507,8,408,91
1297,Precinct 12,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
1298,Precinct 12,County Tax Assessor-Collector,,,Under Votes,96,4,75,17
1300,Precinct 12,County Commissioner Pct 3,,REP,Tom Berry,515,8,416,91
1301,Precinct 12,County Commissioner Pct 3,,,Over Votes,0,0,0,0
1302,Precinct 12,County Commissioner Pct 3,,,Under Votes,88,4,67,17
1304,Precinct 12,Constable Pct 1,,REP,Ray Berry,484,8,386,90
1305,Precinct 12,Constable Pct 1,,,Over Votes,0,0,0,0
1306,Precinct 12,Constable Pct 1,,,Under Votes,119,4,97,18
1308,Precinct 13,Registered Voters,,,,738,,,
1309,Precinct 13,Ballots Cast,,,,369,15,269,85
1311,Precinct 13,President,,REP,Donald J. Trump/JD Vance,215,4,162,49
1312,Precinct 13,President,,DEM,Kamala D. Harris/Tim Walz,151,11,105,35
1313,Precinct 13,President,,LIB,Chase Oliver/Mike ter Maat,3,0,2,1
1314,Precinct 13,President,,GRN,Jill Stein/Rudolph Ware,0,0,0,0
1315,Precinct 13,President,,,Write-ins,0,0,0,0
1316,Precinct 13,President,,,Over Votes,0,0,0,0
1317,Precinct 13,President,,,Under Votes,0,0,0,0
1319,Precinct 13,U.S. Senate,,REP,Ted Cruz,200,3,155,42
1320,Precinct 13,U.S. Senate,,DEM,Colin Allred,150,11,103,36
1321,Precinct 13,U.S. Senate,,LIB,Ted Brown,12,1,7,4
1322,Precinct 13,U.S. Senate,,,Write-ins,0,0,0,0
1323,Precinct 13,U.S. Senate,,,Over Votes,0,0,0,0
1324,Precinct 13,U.S. Senate,,,Under Votes,7,0,4,3
1326,Precinct 13,U.S. House,17,REP,Pete Sessions,218,4,164,50
1327,Precinct 13,U.S. House,17,DEM,Mark Lorenzen,134,11,94,29
1328,Precinct 13,U.S. House,17,,Over Votes,0,0,0,0
1329,Precinct 13,U.S. House,17,,Under Votes,17,0,11,6
1332,Precinct 13,Railroad Commissioner,,REP,Christi Craddick,200,3,157,40
1333,Precinct 13,Railroad Commissioner,,DEM,Katherine Culbert,123,10,86,27
1334,Precinct 13,Railroad Commissioner,,LIB,Hawk Dunlap,14,1,7,6
1335,Precinct 13,Railroad Commissioner,,GRN,Eddie Espinoza,12,0,6,6
1336,Precinct 13,Railroad Commissioner,,,Write-ins,0,0,0,0
1337,Precinct 13,Railroad Commissioner,,,Over Votes,1,1,0,0
1338,Precinct 13,Railroad Commissioner,,,Under Votes,19,0,13,6
1340,Precinct 13,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,214,4,161,49
1341,Precinct 13,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,129,11,90,28
1342,Precinct 13,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
1343,Precinct 13,"Justice, Supreme Court, Pl 2",,,Under Votes,26,0,18,8
1345,Precinct 13,"Justice, Supreme Court, Pl 4",,REP,John Devine,214,4,162,48
1346,Precinct 13,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,131,11,90,30
1347,Precinct 13,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
1348,Precinct 13,"Justice, Supreme Court, Pl 4",,,Under Votes,24,0,17,7
1350,Precinct 13,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,197,3,149,45
1351,Precinct 13,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,127,11,89,27
1352,Precinct 13,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,19,1,14,4
1353,Precinct 13,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
1354,Precinct 13,"Justice, Supreme Court, Pl 6",,,Under Votes,26,0,17,9
1357,Precinct 13,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,207,4,157,46
1358,Precinct 13,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,131,11,90,30
1359,Precinct 13,"Presiding Judge, Ct of Crim App",,,Over Votes,0,0,0,0
1360,Precinct 13,"Presiding Judge, Ct of Crim App",,,Under Votes,31,0,22,9
1362,Precinct 13,"Judge, Ct of Crim App, Pl 7",,REP,Gina Parker,214,4,160,50
1363,Precinct 13,"Judge, Ct of Crim App, Pl 7",,DEM,Nancy Mulder,124,11,86,27
1364,Precinct 13,"Judge, Ct of Crim App, Pl 7",,,Over Votes,0,0,0,0
1365,Precinct 13,"Judge, Ct of Crim App, Pl 7",,,Under Votes,31,0,23,8
1367,Precinct 13,"Judge, Ct of Crim App, Pl 8",,REP,Lee Finley,214,4,160,50
1368,Precinct 13,"Judge, Ct of Crim App, Pl 8",,DEM,Chika Anyiam,121,11,85,25
1369,Precinct 13,"Judge, Ct of Crim App, Pl 8",,,Over Votes,0,0,0,0
1370,Precinct 13,"Judge, Ct of Crim App, Pl 8",,,Under Votes,34,0,24,10
1372,Precinct 13,State Representative,9,REP,Trent Ashby,257,9,184,64
1373,Precinct 13,State Representative,9,,Over Votes,0,0,0,0
1374,Precinct 13,State Representative,9,,Under Votes,112,6,85,21
1377,Precinct 13,"Justice, 12th Ct of App Dist, Pl 3",,REP,Greg Neeley,246,8,179,59
1378,Precinct 13,"Justice, 12th Ct of App Dist, Pl 3",,,Over Votes,0,0,0,0
1379,Precinct 13,"Justice, 12th Ct of App Dist, Pl 3",,,Under Votes,123,7,90,26
1381,Precinct 13,"Dist Attorney, 159th Judicial Dist",,REP,Layne Allen Thompson,241,8,172,61
1382,Precinct 13,"Dist Attorney, 159th Judicial Dist",,,Over Votes,0,0,0,0
1383,Precinct 13,"Dist Attorney, 159th Judicial Dist",,,Under Votes,128,7,97,24
1385,Precinct 13,County Attorney,,REP,James M. Yakovsky,247,8,179,60
1386,Precinct 13,County Attorney,,,Over Votes,0,0,0,0
1387,Precinct 13,County Attorney,,,Under Votes,122,7,90,25
1389,Precinct 13,District Clerk - Unexpired Term,,REP,Meagan Moore,247,8,178,61
1390,Precinct 13,District Clerk - Unexpired Term,,,Over Votes,0,0,0,0
1391,Precinct 13,District Clerk - Unexpired Term,,,Under Votes,122,7,91,24
1393,Precinct 13,Sheriff,,REP,Tom Selman,261,9,190,62
1394,Precinct 13,Sheriff,,,Over Votes,0,0,0,0
1395,Precinct 13,Sheriff,,,Under Votes,108,6,79,23
1398,Precinct 13,County Tax Assessor-Collector,,REP,Billie Page,257,9,186,62
1399,Precinct 13,County Tax Assessor-Collector,,,Over Votes,0,0,0,0
1400,Precinct 13,County Tax Assessor-Collector,,,Under Votes,112,6,83,23
1402,Precinct 13,Constable Pct 1,,REP,Ray Berry,263,8,191,64
1403,Precinct 13,Constable Pct 1,,,Over Votes,0,0,0,0
1404,Precinct 13,Constable Pct 1,,,Under Votes,106,7,78,21
1406,Precinct 14,Registered Voters,,,,2016,,,
1407,Precinct 14,Ballots Cast,,,,1288,53,951,284
1409,Precinct 14,President,,REP,Donald J. Trump/JD Vance,873,29,660,184
1410,Precinct 14,President,,DEM,Kamala D. Harris/Tim Walz,393,24,272,97
1411,Precinct 14,President,,LIB,Chase Oliver/Mike ter Maat,9,0,8,1
1412,Precinct 14,President,,GRN,Jill Stein/Rudolph Ware,3,0,3,0
1413,Precinct 14,President,,,Write-ins,5,0,3,2
1414,Precinct 14,President,,,Over Votes,0,0,0,0
1415,Precinct 14,President,,,Under Votes,5,0,5,0
1417,Precinct 14,U.S. Senate,,REP,Ted Cruz,836,28,639,169
1418,Precinct 14,U.S. Senate,,DEM,Colin Allred,414,25,290,99
1419,Precinct 14,U.S. Senate,,LIB,Ted Brown,17,0,10,7
1420,Precinct 14,U.S. Senate,,,Write-ins,5,0,3,2
1421,Precinct 14,U.S. Senate,,,Over Votes,0,0,0,0
1422,Precinct 14,U.S. Senate,,,Under Votes,16,0,9,7
1424,Precinct 14,U.S. House,17,REP,Pete Sessions,887,30,672,185
1425,Precinct 14,U.S. House,17,DEM,Mark Lorenzen,349,21,248,80
1426,Precinct 14,U.S. House,17,,Over Votes,0,0,0,0
1427,Precinct 14,U.S. House,17,,Under Votes,52,2,31,19
1430,Precinct 14,Railroad Commissioner,,REP,Christi Craddick,837,29,629,179
1431,Precinct 14,Railroad Commissioner,,DEM,Katherine Culbert,337,22,244,71
1432,Precinct 14,Railroad Commissioner,,LIB,Hawk Dunlap,27,0,22,5
1433,Precinct 14,Railroad Commissioner,,GRN,Eddie Espinoza,20,0,12,8
1434,Precinct 14,Railroad Commissioner,,,Write-ins,1,0,0,1
1435,Precinct 14,Railroad Commissioner,,,Over Votes,0,0,0,0
1436,Precinct 14,Railroad Commissioner,,,Under Votes,66,2,44,20
1438,Precinct 14,"Justice, Supreme Court, Pl 2",,REP,Jimmy Blacklock,855,30,650,175
1439,Precinct 14,"Justice, Supreme Court, Pl 2",,DEM,DaSean Jones,355,20,249,86
1440,Precinct 14,"Justice, Supreme Court, Pl 2",,,Over Votes,0,0,0,0
1441,Precinct 14,"Justice, Supreme Court, Pl 2",,,Under Votes,78,3,52,23
1443,Precinct 14,"Justice, Supreme Court, Pl 4",,REP,John Devine,858,30,648,180
1444,Precinct 14,"Justice, Supreme Court, Pl 4",,DEM,Christine Vinh Weems,358,20,256,82
1445,Precinct 14,"Justice, Supreme Court, Pl 4",,,Over Votes,0,0,0,0
1446,Precinct 14,"Justice, Supreme Court, Pl 4",,,Under Votes,72,3,47,22
1448,Precinct 14,"Justice, Supreme Court, Pl 6",,REP,Jane Bland,840,28,642,170
1449,Precinct 14,"Justice, Supreme Court, Pl 6",,DEM,Bonnie Lee Goldstein,340,21,239,80
1450,Precinct 14,"Justice, Supreme Court, Pl 6",,LIB,J. David Roberson,33,1,22,10
1451,Precinct 14,"Justice, Supreme Court, Pl 6",,,Over Votes,0,0,0,0
1452,Precinct 14,"Justice, Supreme Court, Pl 6",,,Under Votes,75,3,48,24
1455,Precinct 14,"Presiding Judge, Ct of Crim App",,REP,David J. Schenck,847,29,644,174
1456,Precinct 14,"Presiding Judge, Ct of Crim App",,DEM,Holly Taylor,364,20,256,88
