county,precinct,office,district,party,candidate,votes,absentee,early_voting,early_voting_provisional,election_day,election_day_provisional
Kaufman,24,County Tax Assessor-Collector,,REP,Teressa Floyd,738,18,601,0,119,0
Kaufman,25,County Tax Assessor-Collector,,REP,Teressa Floyd,441,8,347,0,86,0
Kaufman,26,County Tax Assessor-Collector,,REP,Teressa Floyd,483,13,316,1,153,0
Kaufman,27,County Tax Assessor-Collector,,REP,Teressa Floyd,2306,33,1911,0,362,0
Kaufman,28,County Tax Assessor-Collector,,REP,Teressa Floyd,1151,20,964,0,167,0
Kaufman,29,County Tax Assessor-Collector,,REP,Teressa Floyd,2015,23,1386,1,604,1
Kaufman,30,County Tax Assessor-Collector,,REP,Teressa Floyd,1231,16,912,2,301,0
Kaufman,31,County Tax Assessor-Collector,,REP,Teressa Floyd,807,7,639,0,161,0
Kaufman,32,County Tax Assessor-Collector,,REP,Teressa Floyd,1330,25,1080,0,225,0
Kaufman,33,County Tax Assessor-Collector,,REP,Teressa Floyd,163,1,123,0,39,0
Kaufman,34,County Tax Assessor-Collector,,REP,Teressa Floyd,2695,46,2076,0,573,0
Kaufman,35,County Tax Assessor-Collector,,REP,Teressa Floyd,1763,13,1316,1,433,0
Kaufman,36,County Tax Assessor-Collector,,REP,Teressa Floyd,1709,21,1383,3,302,0
Kaufman,37,County Tax Assessor-Collector,,REP,Teressa Floyd,1126,11,752,0,363,0
Kaufman,1,Dist Judge,,REP,Shelton T.W. Gibbs IV,1482,28,1116,2,336,0
Kaufman,2,Dist Judge,,REP,Shelton T.W. Gibbs IV,931,20,703,0,208,0
Kaufman,3,Dist Judge,,REP,Shelton T.W. Gibbs IV,2217,37,1841,2,337,0
Kaufman,4,Dist Judge,,REP,Shelton T.W. Gibbs IV,1341,19,1152,1,169,0
Kaufman,5,Dist Judge,,REP,Shelton T.W. Gibbs IV,640,27,460,2,151,0
Kaufman,6,Dist Judge,,REP,Shelton T.W. Gibbs IV,1425,16,1051,0,358,0
Kaufman,7,Dist Judge,,REP,Shelton T.W. Gibbs IV,2710,43,2086,3,578,0
Kaufman,8,Dist Judge,,REP,Shelton T.W. Gibbs IV,964,27,729,1,207,0
Kaufman,9,Dist Judge,,REP,Shelton T.W. Gibbs IV,1126,16,824,0,285,1
Kaufman,10,Dist Judge,,REP,Shelton T.W. Gibbs IV,1791,21,1407,0,363,0
Kaufman,11,Dist Judge,,REP,Shelton T.W. Gibbs IV,965,21,800,0,144,0
Kaufman,12,Dist Judge,,REP,Shelton T.W. Gibbs IV,1288,14,1061,0,213,0
Kaufman,13,Dist Judge,,REP,Shelton T.W. Gibbs IV,1966,21,1516,2,427,0
Kaufman,14,Dist Judge,,REP,Shelton T.W. Gibbs IV,2505,26,1865,0,614,0
Kaufman,15,Dist Judge,,REP,Shelton T.W. Gibbs IV,1707,23,1393,6,285,0
Kaufman,16,Dist Judge,,REP,Shelton T.W. Gibbs IV,2263,26,1636,0,601,0
Kaufman,17,Dist Judge,,REP,Shelton T.W. Gibbs IV,1244,14,940,1,289,0
Kaufman,18,Dist Judge,,REP,Shelton T.W. Gibbs IV,1558,21,1269,1,267,0
Kaufman,19,Dist Judge,,REP,Shelton T.W. Gibbs IV,1293,39,977,2,275,0
Kaufman,20,Dist Judge,,REP,Shelton T.W. Gibbs IV,839,16,656,0,167,0
Kaufman,21,Dist Judge,,REP,Shelton T.W. Gibbs IV,1517,22,1141,1,353,0
Kaufman,22,Dist Judge,,REP,Shelton T.W. Gibbs IV,790,18,635,0,137,0
Kaufman,23,Dist Judge,,REP,Shelton T.W. Gibbs IV,967,11,772,0,184,0
Kaufman,24,Dist Judge,,REP,Shelton T.W. Gibbs IV,753,20,613,0,120,0
Kaufman,25,Dist Judge,,REP,Shelton T.W. Gibbs IV,440,8,350,0,82,0
Kaufman,26,Dist Judge,,REP,Shelton T.W. Gibbs IV,518,16,344,0,158,0
Kaufman,27,Dist Judge,,REP,Shelton T.W. Gibbs IV,2283,33,1896,0,354,0
Kaufman,28,Dist Judge,,REP,Shelton T.W. Gibbs IV,1144,21,959,0,164,0
Kaufman,29,Dist Judge,,REP,Shelton T.W. Gibbs IV,1969,24,1357,1,586,1
Kaufman,30,Dist Judge,,REP,Shelton T.W. Gibbs IV,1219,16,901,2,300,0
Kaufman,31,Dist Judge,,REP,Shelton T.W. Gibbs IV,796,7,632,0,157,0
Kaufman,32,Dist Judge,,REP,Shelton T.W. Gibbs IV,1321,25,1075,0,221,0
Kaufman,33,Dist Judge,,REP,Shelton T.W. Gibbs IV,163,1,125,0,37,0
Kaufman,34,Dist Judge,,REP,Shelton T.W. Gibbs IV,2674,45,2063,0,566,0
Kaufman,35,Dist Judge,,REP,Shelton T.W. Gibbs IV,1716,12,1284,2,418,0
Kaufman,36,Dist Judge,,REP,Shelton T.W. Gibbs IV,1682,21,1365,3,293,0
Kaufman,37,Dist Judge,,REP,Shelton T.W. Gibbs IV,1110,11,744,0,355,0
Kaufman,1,Dist Judge,,REP,Tracy Gray,1426,26,1065,2,333,0
Kaufman,2,Dist Judge,,REP,Tracy Gray,909,20,688,0,201,0
Kaufman,3,Dist Judge,,REP,Tracy Gray,2215,39,1835,2,339,0
Kaufman,4,Dist Judge,,REP,Tracy Gray,1326,19,1140,1,166,0
Kaufman,5,Dist Judge,,REP,Tracy Gray,590,24,423,2,141,0
Kaufman,6,Dist Judge,,REP,Tracy Gray,1391,16,1023,0,352,0
Kaufman,7,Dist Judge,,REP,Tracy Gray,2708,42,2092,3,571,0
Kaufman,8,Dist Judge,,REP,Tracy Gray,950,26,714,1,209,0
Kaufman,9,Dist Judge,,REP,Tracy Gray,1090,14,790,0,285,1
Kaufman,10,Dist Judge,,REP,Tracy Gray,1754,21,1381,0,352,0
Kaufman,11,Dist Judge,,REP,Tracy Gray,940,21,781,0,138,0
Kaufman,12,Dist Judge,,REP,Tracy Gray,1262,14,1042,0,206,0
Kaufman,13,Dist Judge,,REP,Tracy Gray,1943,20,1498,2,423,0
Kaufman,14,Dist Judge,,REP,Tracy Gray,2492,26,1846,0,620,0
Kaufman,15,Dist Judge,,REP,Tracy Gray,1678,23,1365,5,285,0
Kaufman,16,Dist Judge,,REP,Tracy Gray,2220,26,1605,0,589,0
Kaufman,17,Dist Judge,,REP,Tracy Gray,1190,14,897,1,278,0
Kaufman,18,Dist Judge,,REP,Tracy Gray,1507,21,1221,1,264,0
Kaufman,19,Dist Judge,,REP,Tracy Gray,1255,40,954,2,259,0
Kaufman,20,Dist Judge,,REP,Tracy Gray,814,16,631,0,166,1
Kaufman,21,Dist Judge,,REP,Tracy Gray,1472,22,1112,1,337,0
Kaufman,22,Dist Judge,,REP,Tracy Gray,761,19,607,0,135,0
Kaufman,23,Dist Judge,,REP,Tracy Gray,922,10,739,0,173,0
Kaufman,24,Dist Judge,,REP,Tracy Gray,728,19,587,0,122,0
Kaufman,25,Dist Judge,,REP,Tracy Gray,439,8,347,0,84,0
Kaufman,26,Dist Judge,,REP,Tracy Gray,479,12,312,1,154,0
Kaufman,27,Dist Judge,,REP,Tracy Gray,2253,32,1863,0,358,0
Kaufman,28,Dist Judge,,REP,Tracy Gray,1123,20,939,0,164,0
Kaufman,29,Dist Judge,,REP,Tracy Gray,1976,22,1364,1,588,1
Kaufman,30,Dist Judge,,REP,Tracy Gray,1184,16,877,2,289,0
Kaufman,31,Dist Judge,,REP,Tracy Gray,787,6,626,0,155,0
Kaufman,32,Dist Judge,,REP,Tracy Gray,1303,25,1059,0,219,0
Kaufman,33,Dist Judge,,REP,Tracy Gray,163,1,122,0,40,0
Kaufman,34,Dist Judge,,REP,Tracy Gray,2658,45,2051,0,562,0
Kaufman,35,Dist Judge,,REP,Tracy Gray,1740,15,1306,2,417,0
Kaufman,36,Dist Judge,,REP,Tracy Gray,1668,21,1351,3,293,0
Kaufman,37,Dist Judge,,REP,Tracy Gray,1099,11,739,0,349,0
Kaufman,1,Judge,7,REP,Gina Parker,1276,17,965,2,292,0
Kaufman,2,Judge,7,REP,Gina Parker,862,20,659,0,183,0
Kaufman,3,Judge,7,REP,Gina Parker,1850,34,1548,2,266,0
Kaufman,4,Judge,7,REP,Gina Parker,1260,18,1094,1,147,0
Kaufman,5,Judge,7,REP,Gina Parker,368,13,283,2,70,0
Kaufman,6,Judge,7,REP,Gina Parker,1360,17,1010,0,333,0
Kaufman,7,Judge,7,REP,Gina Parker,2014,41,1586,3,384,0
Kaufman,8,Judge,7,REP,Gina Parker,786,24,594,0,168,0
Kaufman,9,Judge,7,REP,Gina Parker,1056,16,774,0,266,0
Kaufman,10,Judge,7,REP,Gina Parker,1736,18,1378,0,340,0
