county,precinct,office,district,party,candidate,votes,absentee,early,election_day
Midland,309A,County Tax Assessor-Collector,,REP,Mary Helen Bowers,15,0,15,0
Midland,310,County Tax Assessor-Collector,,REP,Mary Helen Bowers,262,3,174,85
Midland,401,County Tax Assessor-Collector,,REP,Mary Helen Bowers,764,15,588,161
Midland,402,County Tax Assessor-Collector,,REP,Mary Helen Bowers,637,11,534,92
Midland,403,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1938,49,1624,265
Midland,404,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1448,27,1277,144
Midland,405,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1387,22,1152,213
Midland,406,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1621,20,1079,522
Midland,407,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1361,15,1117,229
Midland,408,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1826,30,1607,189
Midland,409,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1227,20,1024,183
Midland,410,County Tax Assessor-Collector,,REP,Mary Helen Bowers,1472,6,1237,229
Midland,411,County Tax Assessor-Collector,,REP,Mary Helen Bowers,2172,23,1838,311
Midland,107,Directors,6 Midland Memorial Hosp Dist,,Antonio Miramontes,299,18,206,75
Midland,110,Directors,6 Midland Memorial Hosp Dist,,Antonio Miramontes,327,10,259,58
Midland,404,Directors,6 Midland Memorial Hosp Dist,,Antonio Miramontes,315,11,256,48
Midland,405,Directors,6 Midland Memorial Hosp Dist,,Antonio Miramontes,299,9,225,65
Midland,407,Directors,6 Midland Memorial Hosp Dist,,Antonio Miramontes,375,11,282,82
Midland,107,Directors,6 Midland Memorial Hosp Dist,,Bryan Jarman,983,17,833,133
Midland,110,Directors,6 Midland Memorial Hosp Dist,,Bryan Jarman,1329,15,1169,145
Midland,404,Directors,6 Midland Memorial Hosp Dist,,Bryan Jarman,951,14,857,80
Midland,405,Directors,6 Midland Memorial Hosp Dist,,Bryan Jarman,914,15,767,132
Midland,407,Directors,6 Midland Memorial Hosp Dist,,Bryan Jarman,875,10,738,127
Midland,101,Dist Attorney,,REP,Glenn Harwood,522,5,393,124
Midland,101A,Dist Attorney,,REP,Glenn Harwood,1,0,0,1
Midland,102,Dist Attorney,,REP,Glenn Harwood,1608,14,1216,378
Midland,103,Dist Attorney,,REP,Glenn Harwood,1779,30,1358,391
Midland,104,Dist Attorney,,REP,Glenn Harwood,307,7,211,89
Midland,105,Dist Attorney,,REP,Glenn Harwood,702,13,475,214
Midland,106,Dist Attorney,,REP,Glenn Harwood,1581,32,1185,364
Midland,107,Dist Attorney,,REP,Glenn Harwood,1428,34,1177,217
Midland,108,Dist Attorney,,REP,Glenn Harwood,208,2,155,51
Midland,108A,Dist Attorney,,REP,Glenn Harwood,196,5,118,73
Midland,109,Dist Attorney,,REP,Glenn Harwood,262,2,178,82
Midland,109A,Dist Attorney,,REP,Glenn Harwood,0,0,0,0
Midland,110,Dist Attorney,,REP,Glenn Harwood,2048,30,1777,241
Midland,201,Dist Attorney,,REP,Glenn Harwood,1360,17,1009,334
Midland,202,Dist Attorney,,REP,Glenn Harwood,2030,20,1381,629
Midland,202A,Dist Attorney,,REP,Glenn Harwood,2076,17,1499,560
Midland,203,Dist Attorney,,REP,Glenn Harwood,422,5,349,68
Midland,204,Dist Attorney,,REP,Glenn Harwood,2464,52,2038,374
Midland,205,Dist Attorney,,REP,Glenn Harwood,1028,26,891,111
Midland,206,Dist Attorney,,REP,Glenn Harwood,1073,16,930,127
Midland,207,Dist Attorney,,REP,Glenn Harwood,1514,42,1273,199
Midland,208,Dist Attorney,,REP,Glenn Harwood,340,6,246,88
Midland,210,Dist Attorney,,REP,Glenn Harwood,742,13,606,123
Midland,211,Dist Attorney,,REP,Glenn Harwood,2899,14,2128,757
Midland,302,Dist Attorney,,REP,Glenn Harwood,1392,11,993,388
Midland,303,Dist Attorney,,REP,Glenn Harwood,120,0,82,38
Midland,304,Dist Attorney,,REP,Glenn Harwood,437,1,308,128
Midland,305,Dist Attorney,,REP,Glenn Harwood,373,5,219,149
Midland,306,Dist Attorney,,REP,Glenn Harwood,815,17,520,278
Midland,307,Dist Attorney,,REP,Glenn Harwood,526,12,393,121
Midland,307A,Dist Attorney,,REP,Glenn Harwood,412,6,317,89
Midland,308,Dist Attorney,,REP,Glenn Harwood,1025,10,740,275
Midland,309,Dist Attorney,,REP,Glenn Harwood,121,0,69,52
Midland,309A,Dist Attorney,,REP,Glenn Harwood,15,0,14,1
Midland,310,Dist Attorney,,REP,Glenn Harwood,260,2,171,87
Midland,401,Dist Attorney,,REP,Glenn Harwood,774,13,597,164
Midland,402,Dist Attorney,,REP,Glenn Harwood,639,11,536,92
Midland,403,Dist Attorney,,REP,Glenn Harwood,1930,46,1611,273
Midland,404,Dist Attorney,,REP,Glenn Harwood,1452,26,1281,145
Midland,405,Dist Attorney,,REP,Glenn Harwood,1382,22,1143,217
Midland,406,Dist Attorney,,REP,Glenn Harwood,1634,20,1084,530
Midland,407,Dist Attorney,,REP,Glenn Harwood,1364,15,1121,228
Midland,408,Dist Attorney,,REP,Glenn Harwood,1848,31,1622,195
Midland,409,Dist Attorney,,REP,Glenn Harwood,1224,20,1020,184
Midland,410,Dist Attorney,,REP,Glenn Harwood,1481,7,1242,232
Midland,411,Dist Attorney,,REP,Glenn Harwood,2199,21,1865,313
Midland,101,Dist Judge,,REP,David Glenn Rogers,532,5,403,124
Midland,101A,Dist Judge,,REP,David Glenn Rogers,1,0,0,1
Midland,102,Dist Judge,,REP,David Glenn Rogers,1623,13,1229,381
Midland,103,Dist Judge,,REP,David Glenn Rogers,1810,31,1380,399
Midland,104,Dist Judge,,REP,David Glenn Rogers,308,7,215,86
Midland,105,Dist Judge,,REP,David Glenn Rogers,719,13,488,218
Midland,106,Dist Judge,,REP,David Glenn Rogers,1592,33,1195,364
Midland,107,Dist Judge,,REP,David Glenn Rogers,1440,33,1188,219
Midland,108,Dist Judge,,REP,David Glenn Rogers,214,2,160,52
Midland,108A,Dist Judge,,REP,David Glenn Rogers,197,5,118,74
Midland,109,Dist Judge,,REP,David Glenn Rogers,266,2,182,82
Midland,109A,Dist Judge,,REP,David Glenn Rogers,0,0,0,0
Midland,110,Dist Judge,,REP,David Glenn Rogers,2053,30,1788,235
Midland,201,Dist Judge,,REP,David Glenn Rogers,1369,17,1014,338
Midland,202,Dist Judge,,REP,David Glenn Rogers,2038,21,1386,631
Midland,202A,Dist Judge,,REP,David Glenn Rogers,2088,17,1506,565
Midland,203,Dist Judge,,REP,David Glenn Rogers,425,5,353,67
Midland,204,Dist Judge,,REP,David Glenn Rogers,2477,52,2055,370
Midland,205,Dist Judge,,REP,David Glenn Rogers,1066,30,922,114
Midland,206,Dist Judge,,REP,David Glenn Rogers,1089,19,940,130
Midland,207,Dist Judge,,REP,David Glenn Rogers,1546,42,1303,201
Midland,208,Dist Judge,,REP,David Glenn Rogers,342,6,248,88
Midland,210,Dist Judge,,REP,David Glenn Rogers,737,10,603,124
Midland,211,Dist Judge,,REP,David Glenn Rogers,2917,14,2139,764
Midland,302,Dist Judge,,REP,David Glenn Rogers,1421,11,1013,397
Midland,303,Dist Judge,,REP,David Glenn Rogers,126,0,86,40
Midland,304,Dist Judge,,REP,David Glenn Rogers,443,1,311,131
Midland,305,Dist Judge,,REP,David Glenn Rogers,383,6,228,149
Midland,306,Dist Judge,,REP,David Glenn Rogers,824,14,527,283
Midland,307,Dist Judge,,REP,David Glenn Rogers,529,11,395,123
Midland,307A,Dist Judge,,REP,David Glenn Rogers,417,6,325,86
Midland,308,Dist Judge,,REP,David Glenn Rogers,1055,10,759,286
Midland,309,Dist Judge,,REP,David Glenn Rogers,126,0,75,51
Midland,309A,Dist Judge,,REP,David Glenn Rogers,14,0,14,0
Midland,310,Dist Judge,,REP,David Glenn Rogers,267,2,176,89
Midland,401,Dist Judge,,REP,David Glenn Rogers,782,13,602,167
Midland,402,Dist Judge,,REP,David Glenn Rogers,643,11,540,92
Midland,403,Dist Judge,,REP,David Glenn Rogers,1949,43,1632,274
Midland,404,Dist Judge,,REP,David Glenn Rogers,1472,28,1298,146
Midland,405,Dist Judge,,REP,David Glenn Rogers,1402,24,1156,222
Midland,406,Dist Judge,,REP,David Glenn Rogers,1644,20,1089,535
Midland,407,Dist Judge,,REP,David Glenn Rogers,1383,15,1137,231
Midland,408,Dist Judge,,REP,David Glenn Rogers,1841,31,1616,194
Midland,409,Dist Judge,,REP,David Glenn Rogers,1242,20,1035,187
Midland,410,Dist Judge,,REP,David Glenn Rogers,1478,6,1239,233
Midland,411,Dist Judge,,REP,David Glenn Rogers,2207,22,1870,315
Midland,202,GISD Trustee,,,Cody Rich,1218,10,828,380
Midland,202A,GISD Trustee,,,Cody Rich,981,6,740,235
Midland,202,GISD Trustee,,,Dusty Robertson,1431,13,969,449
Midland,202A,GISD Trustee,,,Dusty Robertson,1448,10,1075,363
Midland,202,GISD Trustee,,,Joe Flores,730,7,485,238
Midland,202A,GISD Trustee,,,Joe Flores,922,8,648,266
Midland,202,GISD Trustee,,,Justin Brooks,1842,19,1260,563
Midland,202A,GISD Trustee,,,Justin Brooks,1854,13,1357,484
Midland,202,GISD Trustee,,,Kurt O'Briant,376,5,245,126
Midland,202A,GISD Trustee,,,Kurt O'Briant,371,0,262,109
Midland,101,Judge,7,REP,Gina Parker,514,4,395,115
Midland,101A,Judge,7,REP,Gina Parker,1,0,0,1
Midland,102,Judge,7,REP,Gina Parker,1496,12,1153,331
Midland,103,Judge,7,REP,Gina Parker,1662,30,1284,348
Midland,104,Judge,7,REP,Gina Parker,274,6,192,76
Midland,105,Judge,7,REP,Gina Parker,662,11,460,191
Midland,106,Judge,7,REP,Gina Parker,1423,31,1079,313
Midland,107,Judge,7,REP,Gina Parker,1365,34,1137,194
Midland,108,Judge,7,REP,Gina Parker,196,3,152,41
Midland,108A,Judge,7,REP,Gina Parker,196,5,119,72
Midland,109,Judge,7,REP,Gina Parker,232,1,159,72
Midland,109A,Judge,7,REP,Gina Parker,0,0,0,0
Midland,110,Judge,7,REP,Gina Parker,1974,28,1725,221
Midland,201,Judge,7,REP,Gina Parker,1336,18,1000,318
Midland,202,Judge,7,REP,Gina Parker,2010,24,1374,612
Midland,202A,Judge,7,REP,Gina Parker,2033,17,1490,526
Midland,203,Judge,7,REP,Gina Parker,418,5,354,59
Midland,204,Judge,7,REP,Gina Parker,2367,47,1969,351
Midland,205,Judge,7,REP,Gina Parker,985,24,863,98
Midland,206,Judge,7,REP,Gina Parker,1029,14,898,117
Midland,207,Judge,7,REP,Gina Parker,1398,34,1192,172
Midland,208,Judge,7,REP,Gina Parker,319,6,237,76
Midland,210,Judge,7,REP,Gina Parker,691,12,573,106
Midland,211,Judge,7,REP,Gina Parker,2691,13,2008,670
Midland,302,Judge,7,REP,Gina Parker,1338,10,969,359
Midland,303,Judge,7,REP,Gina Parker,108,0,80,28
Midland,304,Judge,7,REP,Gina Parker,367,1,252,114
Midland,305,Judge,7,REP,Gina Parker,275,3,162,110
Midland,306,Judge,7,REP,Gina Parker,610,7,399,204
Midland,307,Judge,7,REP,Gina Parker,489,13,366,110
Midland,307A,Judge,7,REP,Gina Parker,362,4,284,74
Midland,308,Judge,7,REP,Gina Parker,837,5,598,234
Midland,309,Judge,7,REP,Gina Parker,107,0,64,43
Midland,309A,Judge,7,REP,Gina Parker,16,0,16,0
Midland,310,Judge,7,REP,Gina Parker,254,2,169,83
Midland,401,Judge,7,REP,Gina Parker,770,15,592,163
Midland,402,Judge,7,REP,Gina Parker,605,11,505,89
Midland,403,Judge,7,REP,Gina Parker,1849,45,1555,249
Midland,404,Judge,7,REP,Gina Parker,1390,27,1232,131
Midland,405,Judge,7,REP,Gina Parker,1332,18,1116,198
Midland,406,Judge,7,REP,Gina Parker,1552,20,1039,493
Midland,407,Judge,7,REP,Gina Parker,1269,16,1057,196
Midland,408,Judge,7,REP,Gina Parker,1800,30,1591,179
Midland,409,Judge,7,REP,Gina Parker,1185,17,991,177
Midland,410,Judge,7,REP,Gina Parker,1420,8,1200,212
Midland,411,Judge,7,REP,Gina Parker,2134,20,1816,298
Midland,101,Judge,7,DEM,Nancy Mulder,62,1,42,19
Midland,101A,Judge,7,DEM,Nancy Mulder,0,0,0,0
Midland,102,Judge,7,DEM,Nancy Mulder,372,6,266,100
Midland,103,Judge,7,DEM,Nancy Mulder,450,24,315,111
Midland,104,Judge,7,DEM,Nancy Mulder,131,3,89,39
Midland,105,Judge,7,DEM,Nancy Mulder,199,8,124,67
Midland,106,Judge,7,DEM,Nancy Mulder,500,21,349,130
Midland,107,Judge,7,DEM,Nancy Mulder,310,23,223,64
Midland,108,Judge,7,DEM,Nancy Mulder,48,0,31,17
Midland,108A,Judge,7,DEM,Nancy Mulder,28,0,19,9
Midland,109,Judge,7,DEM,Nancy Mulder,124,3,77,44
Midland,109A,Judge,7,DEM,Nancy Mulder,0,0,0,0
Midland,110,Judge,7,DEM,Nancy Mulder,257,9,209,39
Midland,201,Judge,7,DEM,Nancy Mulder,206,5,134,67
Midland,202,Judge,7,DEM,Nancy Mulder,130,2,72,56
Midland,202A,Judge,7,DEM,Nancy Mulder,204,5,141,58
Midland,203,Judge,7,DEM,Nancy Mulder,63,2,45,16
Midland,204,Judge,7,DEM,Nancy Mulder,345,13,277,55
Midland,205,Judge,7,DEM,Nancy Mulder,185,12,148,25
Midland,206,Judge,7,DEM,Nancy Mulder,191,14,150,27
Midland,207,Judge,7,DEM,Nancy Mulder,340,26,259,55
Midland,208,Judge,7,DEM,Nancy Mulder,108,2,78,28
Midland,210,Judge,7,DEM,Nancy Mulder,191,9,139,43
Midland,211,Judge,7,DEM,Nancy Mulder,615,4,433,178
Midland,302,Judge,7,DEM,Nancy Mulder,268,7,170,91
Midland,303,Judge,7,DEM,Nancy Mulder,45,0,24,21
Midland,304,Judge,7,DEM,Nancy Mulder,216,5,155,56
Midland,305,Judge,7,DEM,Nancy Mulder,299,13,190,96
Midland,306,Judge,7,DEM,Nancy Mulder,636,50,408,178
Midland,307,Judge,7,DEM,Nancy Mulder,171,9,131,31
Midland,307A,Judge,7,DEM,Nancy Mulder,191,6,148,37
Midland,308,Judge,7,DEM,Nancy Mulder,707,44,521,142
Midland,309,Judge,7,DEM,Nancy Mulder,49,0,31,18
Midland,309A,Judge,7,DEM,Nancy Mulder,2,0,0,2
Midland,310,Judge,7,DEM,Nancy Mulder,78,6,51,21
Midland,401,Judge,7,DEM,Nancy Mulder,68,3,50,15
Midland,402,Judge,7,DEM,Nancy Mulder,105,6,92,7
Midland,403,Judge,7,DEM,Nancy Mulder,320,19,246,55
Midland,404,Judge,7,DEM,Nancy Mulder,258,13,202,43
Midland,405,Judge,7,DEM,Nancy Mulder,275,15,209,51
Midland,406,Judge,7,DEM,Nancy Mulder,299,9,205,85
Midland,407,Judge,7,DEM,Nancy Mulder,336,16,250,70
Midland,408,Judge,7,DEM,Nancy Mulder,172,10,129,33
Midland,409,Judge,7,DEM,Nancy Mulder,227,11,182,34
Midland,410,Judge,7,DEM,Nancy Mulder,181,5,136,40
Midland,411,Judge,7,DEM,Nancy Mulder,255,8,215,32
Midland,101,Judge,8,DEM,Chika Anyiam,62,1,40,21
Midland,101A,Judge,8,DEM,Chika Anyiam,0,0,0,0
Midland,102,Judge,8,DEM,Chika Anyiam,371,6,264,101
Midland,103,Judge,8,DEM,Chika Anyiam,434,23,308,103
Midland,104,Judge,8,DEM,Chika Anyiam,124,3,84,37
Midland,105,Judge,8,DEM,Chika Anyiam,191,6,121,64
Midland,106,Judge,8,DEM,Chika Anyiam,476,18,334,124
Midland,107,Judge,8,DEM,Chika Anyiam,297,21,218,58
Midland,108,Judge,8,DEM,Chika Anyiam,48,1,30,17
Midland,108A,Judge,8,DEM,Chika Anyiam,27,0,16,11
Midland,109,Judge,8,DEM,Chika Anyiam,121,3,73,45
Midland,109A,Judge,8,DEM,Chika Anyiam,0,0,0,0
Midland,110,Judge,8,DEM,Chika Anyiam,248,8,200,40
Midland,201,Judge,8,DEM,Chika Anyiam,193,5,124,64
Midland,202,Judge,8,DEM,Chika Anyiam,123,2,70,51
Midland,202A,Judge,8,DEM,Chika Anyiam,193,4,133,56
Midland,203,Judge,8,DEM,Chika Anyiam,63,2,47,14
Midland,204,Judge,8,DEM,Chika Anyiam,338,12,272,54
Midland,205,Judge,8,DEM,Chika Anyiam,175,12,140,23
Midland,206,Judge,8,DEM,Chika Anyiam,185,15,144,26
Midland,207,Judge,8,DEM,Chika Anyiam,332,25,254,53
Midland,208,Judge,8,DEM,Chika Anyiam,110,2,80,28
Midland,210,Judge,8,DEM,Chika Anyiam,186,9,139,38
Midland,211,Judge,8,DEM,Chika Anyiam,607,4,431,172
Midland,302,Judge,8,DEM,Chika Anyiam,249,7,160,82
Midland,303,Judge,8,DEM,Chika Anyiam,48,0,24,24
Midland,304,Judge,8,DEM,Chika Anyiam,210,5,145,60
Midland,305,Judge,8,DEM,Chika Anyiam,293,13,191,89
Midland,306,Judge,8,DEM,Chika Anyiam,626,51,401,174
Midland,307,Judge,8,DEM,Chika Anyiam,166,9,128,29
Midland,307A,Judge,8,DEM,Chika Anyiam,186,6,145,35
Midland,308,Judge,8,DEM,Chika Anyiam,690,42,519,129
Midland,309,Judge,8,DEM,Chika Anyiam,53,0,31,22
Midland,309A,Judge,8,DEM,Chika Anyiam,2,0,0,2
Midland,310,Judge,8,DEM,Chika Anyiam,77,5,50,22
Midland,401,Judge,8,DEM,Chika Anyiam,68,4,48,16
Midland,402,Judge,8,DEM,Chika Anyiam,101,6,89,6
Midland,403,Judge,8,DEM,Chika Anyiam,327,16,251,60
Midland,404,Judge,8,DEM,Chika Anyiam,246,11,194,41
Midland,405,Judge,8,DEM,Chika Anyiam,266,15,200,51
Midland,406,Judge,8,DEM,Chika Anyiam,297,9,204,84
Midland,407,Judge,8,DEM,Chika Anyiam,334,16,251,67
Midland,408,Judge,8,DEM,Chika Anyiam,164,10,124,30
Midland,409,Judge,8,DEM,Chika Anyiam,220,11,171,38
Midland,410,Judge,8,DEM,Chika Anyiam,171,6,127,38
Midland,411,Judge,8,DEM,Chika Anyiam,258,8,216,34
Midland,101,Judge,8,REP,Lee Finley,517,5,398,114
Midland,101A,Judge,8,REP,Lee Finley,1,0,0,1
Midland,102,Judge,8,REP,Lee Finley,1492,13,1150,329
Midland,103,Judge,8,REP,Lee Finley,1672,32,1286,354
Midland,104,Judge,8,REP,Lee Finley,283,6,198,79
Midland,105,Judge,8,REP,Lee Finley,665,14,463,188
Midland,106,Judge,8,REP,Lee Finley,1440,31,1090,319
Midland,107,Judge,8,REP,Lee Finley,1368,35,1141,192
Midland,108,Judge,8,REP,Lee Finley,194,2,151,41
Midland,108A,Judge,8,REP,Lee Finley,195,5,121,69
Midland,109,Judge,8,REP,Lee Finley,230,1,161,68
Midland,109A,Judge,8,REP,Lee Finley,0,0,0,0
Midland,110,Judge,8,REP,Lee Finley,1980,29,1732,219
Midland,201,Judge,8,REP,Lee Finley,1344,19,1007,318
Midland,202,Judge,8,REP,Lee Finley,2010,24,1371,615
Midland,202A,Judge,8,REP,Lee Finley,2048,18,1501,529
Midland,203,Judge,8,REP,Lee Finley,416,5,350,61
Midland,204,Judge,8,REP,Lee Finley,2378,49,1977,352
Midland,205,Judge,8,REP,Lee Finley,990,25,866,99
Midland,206,Judge,8,REP,Lee Finley,1036,15,903,118
Midland,207,Judge,8,REP,Lee Finley,1407,37,1197,173
Midland,208,Judge,8,REP,Lee Finley,315,6,233,76
Midland,210,Judge,8,REP,Lee Finley,695,14,569,112
Midland,211,Judge,8,REP,Lee Finley,2686,13,2002,671
Midland,302,Judge,8,REP,Lee Finley,1361,10,981,370
Midland,303,Judge,8,REP,Lee Finley,103,0,78,25
Midland,304,Judge,8,REP,Lee Finley,364,1,252,111
Midland,305,Judge,8,REP,Lee Finley,278,3,161,114
Midland,306,Judge,8,REP,Lee Finley,619,8,404,207
Midland,307,Judge,8,REP,Lee Finley,494,12,370,112
Midland,307A,Judge,8,REP,Lee Finley,366,4,287,75
Midland,308,Judge,8,REP,Lee Finley,846,6,598,242
Midland,309,Judge,8,REP,Lee Finley,103,0,65,38
Midland,309A,Judge,8,REP,Lee Finley,16,0,16,0
Midland,310,Judge,8,REP,Lee Finley,257,2,172,83
Midland,401,Judge,8,REP,Lee Finley,771,15,594,162
Midland,402,Judge,8,REP,Lee Finley,608,11,507,90
Midland,403,Judge,8,REP,Lee Finley,1843,47,1550,246
Midland,404,Judge,8,REP,Lee Finley,1393,29,1232,132
Midland,405,Judge,8,REP,Lee Finley,1335,18,1119,198
Midland,406,Judge,8,REP,Lee Finley,1547,20,1035,492
Midland,407,Judge,8,REP,Lee Finley,1273,16,1056,201
Midland,408,Judge,8,REP,Lee Finley,1806,30,1595,181
Midland,409,Judge,8,REP,Lee Finley,1188,18,998,172
Midland,410,Judge,8,REP,Lee Finley,1433,7,1212,214
Midland,411,Judge,8,REP,Lee Finley,2131,20,1815,296
Midland,101,Justice,2,DEM,DaSean Jones,67,1,46,20
Midland,101A,Justice,2,DEM,DaSean Jones,0,0,0,0
Midland,102,Justice,2,DEM,DaSean Jones,375,6,271,98
Midland,103,Justice,2,DEM,DaSean Jones,455,25,325,105
Midland,104,Justice,2,DEM,DaSean Jones,125,3,88,34
Midland,105,Justice,2,DEM,DaSean Jones,197,7,120,70
Midland,106,Justice,2,DEM,DaSean Jones,493,20,342,131
Midland,107,Justice,2,DEM,DaSean Jones,309,23,221,65
Midland,108,Justice,2,DEM,DaSean Jones,51,1,31,19
Midland,108A,Justice,2,DEM,DaSean Jones,29,0,18,11
Midland,109,Justice,2,DEM,DaSean Jones,126,3,77,46
Midland,109A,Justice,2,DEM,DaSean Jones,0,0,0,0
Midland,110,Justice,2,DEM,DaSean Jones,264,7,210,47
Midland,201,Justice,2,DEM,DaSean Jones,193,5,125,63
Midland,202,Justice,2,DEM,DaSean Jones,123,2,69,52
Midland,202A,Justice,2,DEM,DaSean Jones,197,4,127,66
Midland,203,Justice,2,DEM,DaSean Jones,63,2,46,15
Midland,204,Justice,2,DEM,DaSean Jones,336,14,260,62
Midland,205,Justice,2,DEM,DaSean Jones,173,9,140,24
Midland,206,Justice,2,DEM,DaSean Jones,192,15,147,30
Midland,207,Justice,2,DEM,DaSean Jones,337,26,254,57
Midland,208,Justice,2,DEM,DaSean Jones,115,2,81,32
Midland,210,Justice,2,DEM,DaSean Jones,196,9,146,41
Midland,211,Justice,2,DEM,DaSean Jones,636,4,450,182
Midland,302,Justice,2,DEM,DaSean Jones,263,7,165,91
Midland,303,Justice,2,DEM,DaSean Jones,45,0,26,19
Midland,304,Justice,2,DEM,DaSean Jones,224,6,151,67
Midland,305,Justice,2,DEM,DaSean Jones,297,12,189,96
Midland,306,Justice,2,DEM,DaSean Jones,634,51,404,179
Midland,307,Justice,2,DEM,DaSean Jones,172,9,130,33
Midland,307A,Justice,2,DEM,DaSean Jones,184,6,144,34
Midland,308,Justice,2,DEM,DaSean Jones,697,45,507,145
Midland,309,Justice,2,DEM,DaSean Jones,49,0,29,20
Midland,309A,Justice,2,DEM,DaSean Jones,2,0,0,2
Midland,310,Justice,2,DEM,DaSean Jones,85,6,54,25
Midland,401,Justice,2,DEM,DaSean Jones,67,4,47,16
Midland,402,Justice,2,DEM,DaSean Jones,100,7,83,10
Midland,403,Justice,2,DEM,DaSean Jones,328,21,250,57
Midland,404,Justice,2,DEM,DaSean Jones,247,12,197,38
Midland,405,Justice,2,DEM,DaSean Jones,284,14,212,58
Midland,406,Justice,2,DEM,DaSean Jones,305,9,203,93
Midland,407,Justice,2,DEM,DaSean Jones,345,16,254,75
Midland,408,Justice,2,DEM,DaSean Jones,173,9,132,32
Midland,409,Justice,2,DEM,DaSean Jones,225,11,179,35
Midland,410,Justice,2,DEM,DaSean Jones,184,7,138,39
Midland,411,Justice,2,DEM,DaSean Jones,266,9,223,34
Midland,101,Justice,2,REP,Jimmy Blacklock,519,5,395,119
Midland,101A,Justice,2,REP,Jimmy Blacklock,1,0,0,1
Midland,102,Justice,2,REP,Jimmy Blacklock,1504,12,1149,343
Midland,103,Justice,2,REP,Jimmy Blacklock,1677,30,1289,358
Midland,104,Justice,2,REP,Jimmy Blacklock,287,6,200,81
Midland,105,Justice,2,REP,Jimmy Blacklock,680,13,471,196
Midland,106,Justice,2,REP,Jimmy Blacklock,1444,32,1093,319
Midland,107,Justice,2,REP,Jimmy Blacklock,1382,34,1152,196
Midland,108,Justice,2,REP,Jimmy Blacklock,199,2,156,41
Midland,108A,Justice,2,REP,Jimmy Blacklock,194,5,118,71
Midland,109,Justice,2,REP,Jimmy Blacklock,236,1,164,71
Midland,109A,Justice,2,REP,Jimmy Blacklock,0,0,0,0
Midland,110,Justice,2,REP,Jimmy Blacklock,1973,30,1728,215
Midland,201,Justice,2,REP,Jimmy Blacklock,1360,19,1016,325
Midland,202,Justice,2,REP,Jimmy Blacklock,2039,24,1396,619
Midland,202A,Justice,2,REP,Jimmy Blacklock,2067,18,1511,538
Midland,203,Justice,2,REP,Jimmy Blacklock,422,5,356,61
Midland,204,Justice,2,REP,Jimmy Blacklock,2402,49,2003,350
Midland,205,Justice,2,REP,Jimmy Blacklock,1008,28,878,102
Midland,206,Justice,2,REP,Jimmy Blacklock,1038,14,911,113
Midland,207,Justice,2,REP,Jimmy Blacklock,1419,36,1207,176
Midland,208,Justice,2,REP,Jimmy Blacklock,319,6,238,75
Midland,210,Justice,2,REP,Jimmy Blacklock,695,14,569,112
Midland,211,Justice,2,REP,Jimmy Blacklock,2711,13,2007,691
Midland,302,Justice,2,REP,Jimmy Blacklock,1355,10,979,366
Midland,303,Justice,2,REP,Jimmy Blacklock,110,0,80,30
Midland,304,Justice,2,REP,Jimmy Blacklock,365,0,258,107
Midland,305,Justice,2,REP,Jimmy Blacklock,291,4,170,117
Midland,306,Justice,2,REP,Jimmy Blacklock,634,8,413,213
Midland,307,Justice,2,REP,Jimmy Blacklock,492,13,371,108
Midland,307A,Justice,2,REP,Jimmy Blacklock,372,4,291,77
Midland,308,Justice,2,REP,Jimmy Blacklock,868,5,624,239
Midland,309,Justice,2,REP,Jimmy Blacklock,111,0,68,43
Midland,309A,Justice,2,REP,Jimmy Blacklock,16,0,16,0
Midland,310,Justice,2,REP,Jimmy Blacklock,253,2,170,81
Midland,401,Justice,2,REP,Jimmy Blacklock,784,15,603,166
Midland,402,Justice,2,REP,Jimmy Blacklock,619,10,521,88
Midland,403,Justice,2,REP,Jimmy Blacklock,1876,43,1579,254
Midland,404,Justice,2,REP,Jimmy Blacklock,1405,29,1242,134
Midland,405,Justice,2,REP,Jimmy Blacklock,1333,19,1112,202
Midland,406,Justice,2,REP,Jimmy Blacklock,1562,20,1041,501
Midland,407,Justice,2,REP,Jimmy Blacklock,1284,16,1071,197
Midland,408,Justice,2,REP,Jimmy Blacklock,1808,31,1594,183
Midland,409,Justice,2,REP,Jimmy Blacklock,1193,17,1000,176
Midland,410,Justice,2,REP,Jimmy Blacklock,1436,7,1212,217
Midland,411,Justice,2,REP,Jimmy Blacklock,2145,20,1828,297
Midland,101,Justice,4,DEM,Christine Vinh Weems,62,1,40,21
Midland,101A,Justice,4,DEM,Christine Vinh Weems,0,0,0,0
Midland,102,Justice,4,DEM,Christine Vinh Weems,387,6,276,105
Midland,103,Justice,4,DEM,Christine Vinh Weems,457,25,325,107
Midland,104,Justice,4,DEM,Christine Vinh Weems,127,3,86,38
Midland,105,Justice,4,DEM,Christine Vinh Weems,205,8,128,69
Midland,106,Justice,4,DEM,Christine Vinh Weems,515,23,352,140
Midland,107,Justice,4,DEM,Christine Vinh Weems,331,22,243,66
